,time,variable,value,iteration,name
139,2020-02-20 22:57:37.389378500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
140,2020-02-20 22:57:38.389439500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
141,2020-02-20 22:57:39.388818500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
142,2020-02-20 22:57:40.395086000,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
143,2020-02-20 22:57:41.399355250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
144,2020-02-20 22:57:42.393582500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
145,2020-02-20 22:57:43.388907000,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
146,2020-02-20 22:57:44.389161750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
147,2020-02-20 22:57:45.398537750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
148,2020-02-20 22:57:46.389349750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
149,2020-02-20 22:57:47.396020250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
150,2020-02-20 22:57:48.389764000,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
151,2020-02-20 22:57:49.389755500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
152,2020-02-20 22:57:50.392184000,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
153,2020-02-20 22:57:51.390305250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
154,2020-02-20 22:57:52.388671750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
